[ 0.08641882 -0.04584209  1.08299185]
[ 0.08642114 -0.04583779  1.08302399]
[ 0.0864232  -0.04583395  1.08305319]
[ 0.08642502 -0.04583058  1.08307805]
[ 0.0864272  -0.04582653  1.08310918]
[ 0.08642896 -0.04582328  1.08313403]
[ 0.08643106 -0.04581937  1.08316391]
[ 0.08643276 -0.04581623  1.08318806]
[ 0.08643461 -0.04581279  1.08321434]
[ 0.08643661 -0.04580909  1.08324301]
[ 0.0864384  -0.04580578  1.0832688 ]
[ 0.08643998 -0.04580284  1.08329143]
[ 0.08644189 -0.04579932  1.08331871]
[ 0.08644277 -0.04579898  1.08334507]
[ 0.0864434  -0.04579817  1.08336983]
[ 0.08644383 -0.04579841  1.08339136]
[ 0.08644425 -0.04579821  1.08341458]
[ 0.08644495 -0.04579763  1.08343948]
[ 0.08644567 -0.04579687  1.08345911]
[ 0.08644663 -0.04579583  1.08348066]
[ 0.0864478  -0.04579449  1.08350401]
[ 0.08644896 -0.04579311  1.08352485]
[ 0.08645021 -0.04579161  1.08354521]
[ 0.0864514  -0.04579014  1.08356294]
[ 0.0864528  -0.04578845  1.08358226]
[ 0.0864541  -0.04578745  1.08360224]
[ 0.08645485 -0.04578693  1.08362204]
[ 0.08645594 -0.04578607  1.08364395]
[ 0.08645779 -0.04578392  1.08366361]
[ 0.08645989 -0.04578143  1.08368343]
[ 0.08646267 -0.04577759  1.08370332]
[ 0.08646528 -0.04577384  1.08372063]
[ 3.89657168e-04  5.56448591e-05 -3.01416858e-04]
[ 3.90101292e-04  5.57765574e-05 -3.05492347e-04]
[ 3.74651396e-04  5.41906884e-05 -2.88113024e-04]
[ 3.04943629e-04  5.39674023e-05 -2.60881851e-04]
[ 2.65948163e-04  5.36379476e-05 -2.56682051e-04]
[ 2.21910437e-04  5.32208604e-05 -2.53156815e-04]
[ 1.86510872e-04  5.28404111e-05 -2.50061490e-04]
[ 1.65966402e-04  5.25940143e-05 -2.48090558e-04]
[ 1.47610283e-04  5.23705055e-05 -2.46243893e-04]
[ 1.17255376e-04  5.19559846e-05 -2.42892502e-04]
[ 1.07360140e-04  5.34990506e-05 -2.48078329e-04]
[ 9.08041135e-05  5.35034938e-05 -2.49970863e-04]
[ 8.35629970e-05  5.35062410e-05 -2.49912161e-04]
[ 7.23352490e-05  5.35107997e-05 -2.49816514e-04]
[ 6.64577484e-05  5.35134669e-05 -2.49779984e-04]
[ 6.02397439e-05  5.35164853e-05 -2.49736797e-04]
[ 5.60132270e-05  5.35187406e-05 -2.49701998e-04]
[ 5.15304196e-05  5.35213274e-05 -2.49658679e-04]
[ 4.77906858e-05  5.35237294e-05 -2.49615640e-04]
[ 4.54647737e-05  5.35253783e-05 -2.49584508e-04]
[ 4.29261709e-05  5.35273479e-05 -2.49545249e-04]
[ 4.05212108e-05  5.35294184e-05 -2.49501826e-04]
[ 3.87273008e-05  5.35312028e-05 -2.49462981e-04]
[ 3.71687949e-05  5.35329291e-05 -2.49423631e-04]
[ 3.58481035e-05  5.35345963e-05 -2.49384293e-04]
[ 3.48313628e-05  5.35360540e-05 -2.49349283e-04]
[ 3.36714435e-05  5.35379494e-05 -2.49301716e-04]
[ 3.29328801e-05  5.35393383e-05 -2.49266274e-04]
[ 3.22456587e-05  5.35408480e-05 -2.49227602e-04]
[ 3.16427278e-05  5.35423375e-05 -2.49187849e-04]
[ 3.10841960e-05  5.35439495e-05 -2.49144887e-04]
[ 3.06983532e-05  5.35452509e-05 -2.49109586e-04]
[ 3.03296103e-05  5.35466821e-05 -2.49070372e-04]
[ 3.00212254e-05  5.35480982e-05 -2.49031469e-04]
[ 2.98100628e-05  5.35492222e-05 -2.49000461e-04]
[ 2.95287184e-05  5.35509003e-05 -2.48952523e-04]
[ 2.93572745e-05  5.35521483e-05 -2.48917944e-04]
[ 2.91901552e-05  5.35535298e-05 -2.48878524e-04]
[ 2.90318910e-05  5.35550432e-05 -2.48835088e-04]
[ 2.89109321e-05  5.35564134e-05 -2.48795696e-04]
[ 2.88187381e-05  5.35576421e-05 -2.48760968e-04]
[ 2.87227881e-05  5.35591401e-05 -2.48717631e-04]
[ 2.86557985e-05  5.35603629e-05 -2.48682442e-04]
[ 2.85864600e-05  5.35618543e-05 -2.48639278e-04]
[ 2.85334779e-05  5.35632078e-05 -2.48600098e-04]
[ 2.84926520e-05  5.35644241e-05 -2.48565144e-04]
[ 2.84540007e-05  5.35657740e-05 -2.48525927e-04]
[ 2.84177321e-05  5.35672576e-05 -2.48482596e-04]
[ 2.83959473e-05  5.35683351e-05 -2.48451894e-04]
[ 2.83672707e-05  5.35699512e-05 -2.48404123e-04]
[ 2.83478558e-05  5.35712963e-05 -2.48365451e-04]
[ 2.83311867e-05  5.35726413e-05 -2.48325858e-04]
[ 2.83185916e-05  5.35738509e-05 -2.48290821e-04]
[ 2.83055992e-05  5.35753289e-05 -2.48247823e-04]
[ 2.82960564e-05  5.35766718e-05 -2.48209051e-04]
[ 2.82889649e-05  5.35778801e-05 -2.48174178e-04]
[ 2.82828751e-05  5.35790884e-05 -2.48138909e-04]
[ 2.82760668e-05  5.35806995e-05 -2.48091297e-04]
[ 2.82720182e-05  5.35819071e-05 -2.48056507e-04]
[ 2.82679968e-05  5.35833832e-05 -2.48013425e-04]
[ 2.82651623e-05  5.35847247e-05 -2.47974665e-04]
[ 2.82629392e-05  5.35860662e-05 -2.47935675e-04]
[ 2.82612266e-05  5.35874077e-05 -2.47896611e-04]
[ 2.82599537e-05  5.35887492e-05 -2.47857547e-04]
[ 2.82590557e-05  5.35900907e-05 -2.47818222e-04]
[ 2.82584895e-05  5.35914319e-05 -2.47779419e-04]
[ 2.82582043e-05  5.35927708e-05 -2.47739887e-04]
[ 2.82587548e-05  5.35939081e-05 -2.47701276e-04]
[ 2.82607014e-05  5.35952341e-05 -2.47657446e-04]
[ 2.82635027e-05  5.35961922e-05 -2.47621551e-04]
[ 2.82678531e-05  5.35972565e-05 -2.47581558e-04]
[ 2.82733109e-05  5.35983206e-05 -2.47541555e-04]
[ 2.82789542e-05  5.35992792e-05 -2.47505811e-04]
[ 2.82878303e-05  5.36005519e-05 -2.47456984e-04]
[ 2.82950581e-05  5.36015097e-05 -2.47421163e-04]
[ 2.83028454e-05  5.36024663e-05 -2.47385091e-04]
